aM gaRAya,am+gaRAya
lakzaRABiDAnadvAreRAha,lakzaRABiDAnadvAreRa+Aha
lakzaRABiDAnAdudAharaRABAsA,lakzaRABiDAnAt+udAharaRABAsA
lakzaRAyA nyAyyatvAd,lakzaRAyAH+nyAyyatvAd
lakzaRAyAM AKyAtasya,lakzaRAyAm+AKyAtasya
lakzaRAyAM tu,lakzaRAyAm+tu
lakzaRAyAM rAjasvatvasaMbanDa,lakzaRAyAm+rAjasvatvasambanDa
lakzaRAyAnuBayavAdisidDatvAditi,lakzaRAyAnuBayavAdisidDatvAt+iti
lakzaRAyogyateti,lakzaRAyogyatA+iti
lakzaRAvaSyakI,lakzaRA+AvaSyakI
lakzaRAsidDega,lakzaRAsidDeH+ga
lakzaRA'tmakavfttijYAnADInopasTitIyamuKyaviSezyatAyA rAjasaMbanDini,lakzaRA'tmakavfttijYAnADInopasTitIyamuKyaviSezyatAyAH+rAjasaMbanDini
lakzaRA'naDInatvAditi,lakzaRA'naDInatvAt+iti
lakzaRA''vaSyakItyarTaH,lakzaRA''vaSyakI+ityarTaH
lakzaReti,lakzaRa+iti
lakzaRetyata,lakzaRA+ityata
lakzaRetyatra,lakzaRA+ityatra
lakzaREveti,lakzaRA+eveti
lakzaRodAharaRAByAM pradarSyanta,lakzaRodAharaRAByAm+pradarSyanta
lakzaRodDAro yavO,lakzaRodDAraH+yavO
lakzaRopagamenEva,lakzaRopagamena+eva
lakzamIkawAkzavIkzaRABizikta iva,lakzamIkawAkzavIkzaRABiziktaH+iva
lakzayecca,lakzayet+ca
lakzayenmaDye,lakzayet+maDye
lakzaSo raTAn,lakzaSaH+raTAn
lakzADikAnAmapi,lakzADikAnAm+api
lakzitaM tayA,lakzitam+tayA
lakzitastasya,lakzitaH+tasya
lakzitasyeti,lakzitasya+iti
lakzitasyetyAdinA,lakzitasya+ityAdinA
lakzitAnItyarTaH,lakzitAni+ityarTaH
lakzito'BUt,lakzitaH+aBUt
lakzeRATa,lakzeRa+aTa
lakzmakzetrezwaDABakte,lakzmakzetre+azwaDABakte
lakzmaRa UrmilAM,lakzmaRaH+UrmilAM
lakzmaRaM muninA,lakzmaRam+muninA
lakzmaRamabravIt,lakzmaRam+abravIt
lakzmaRamAgataH,lakzmaRam+AgataH
lakzmaRamupagatavatI,lakzmaRam+upagatavatI
lakzmaRastaTA,lakzmaRaH+taTA
lakzmaRAnucaro rAmaH,lakzmaRAnucaraH+rAmaH
lakzmaRASca,lakzmaRAH+ca
lakzmaRenEte,lakzmaRena+ete
lakzmaRo bARena,lakzmaRaH+bARena
lakzmaRo mUrcCAM,lakzmaRaH+mUrcCAM
lakzmaRo meGanAdena,lakzmaRaH+meGanAdena
lakzmaRodDArareKAYca,lakzmaRodDArareKAm+ca
lakzmaRo'cCinat,lakzmaRaH+acCinat
lakzmIM prapUjayet,lakzmIm+prapUjayet
lakzmIM SilpI,lakzmIm+SilpI
lakzmInivAsa iva,lakzmInivAsaH+iva
lakzmImUrDvodumbarake,lakzmIm+UrDvodumbarake
lakzmIrgadAbjaDfk,lakzmIH+gadAbjaDfk
lakzmIryAmyakarAmBojA,lakzmIH+yAmyakarAmBojA
lakzmIrvyavasTitA,lakzmIH+vyavasTitA
lakzmIlABArTamudyamaH,lakzmIlABArTama+udyamaH
lakzmIvizRvagnisUryyAdidevAnAM munisattama,lakzmIvizRvagnisUryyAdidevAnAm+munisattama
lakzmIsarasvatyoryadi,lakzmIsarasvatyoH+yadi
lakzmIsTApanaM nAma,lakzmIsTApanam+nAma
lakzmojJitaYca,lakzmojJitam+ca
lakzyatA'vacCedake'pi,lakzyatA'vacCedake+api
lakzyatve'pi,lakzyatve+api
lakzyapadameva,lakzyapadam+eva
lakzyapariBAzitayorvyavacCedArTaH,lakzyapariBAzitayoH+vyavacCedArTaH
lakzyaBedane'sya,lakzyaBedane+asya
lakzyamARastejasvI,lakzyamARaH+tejasvI
lakzyamityarTaH,lakzyam+ityarTaH
lakzyaSakyArTAnyataravizayatAlABAditi,lakzyaSakyArTAnyataravizayatAlABAt+iti
lakzyasyArTatvavyavahArAnuroDena,lakzyasya+arTatvavyavahArAnuroDena
lakzyARAM vAcyatvApattisUcakam,lakzyARAm+vAcyatvApattisUcakam
lakzyAnugama eva,lakzyAnugame+eva
lakzyArTatAtparyeRApi,lakzyArTatAtparyeRa+api
lakzyArTatIrAdivAcakatvavAraRe'pi,lakzyArTatIrAdivAcakatvavAraRe+api
lakzyArTavyApArapratiyogitvaASrayatvAdiBedenetyarTaH,lakzyArTavyApArapratiyogitvaASrayatvAdiBedena+ityarTaH
lakzyArTasyApi,lakzyArTasya+api
lakzyArTopasTiterapi,lakzyArTopasTiteH+api
lakzyArTopasTiterahetutvAt,lakzyArTopasTiteH+ahetutvAt
lakzye'nugamanaM,lakzye+anugamanaM
lakzyatAmupayAtA,lakzyatAm+upayAtA
laKesaragrAmamAsasAda,laKesaragrAmam+AsasAda
lagatyeva,lagati+eva
lagnamasti,lagnam+asti
lagnA'sIt,lagnA+AsIt
lagne'gnikozWake,lagne+agnikozWake
laGavo bAlakAH,laGavaH+bAlakAH
laGavo vA,laGavaH+vA
laGavo himAH,laGavaH+himAH
laGIyastvenAnumitivizayatvAt,laGIyastvena+anumitivizayatvAt
laGIyasyekasmin,laGIyasya+ekasmin
laGIyAMstadA,laGIyAm+tadA
laGIyAnAsIt,laGIyAn+AsIt
laGukarmARo gurUpadeSaM,laGukarmARaH+gurUpadeSaM
laGucawakAmeva,laGucawakAm+eva
laGutaramaparam,laGutaram+aparam
laGutvAditi,laGutvAt+iti
laGutvAdupadiSyate,laGutvAt+upadiSyate
laGuneva,laGunA+eva
laGunEva,laGunA+eva
laGuBUtasyApi,laGuBUtasya+api
laGuBUtAyAM spArSanA,laGuBUtAyAm+spArSanA
laGumiti,laGum+iti
laGuyantramasti,laGuyantram+asti
laGurAjyAnAmeva,laGurAjyAnAm+eva
laGurUkzABirozaDIBiH,laGurUkzABiH+ozaDIBiH
laGurvvAyuvegaH,laGuH+vAyuvegaH
laGuvanamaMtikramya,laGuvanam+atikramya
laGuvitAne'smin,laGuvitAne+asmin
laGuvetrayazwiYca,laGuvetrayazwiM+ca
laGUnyapi,laGUni+api
laNkAM dadarSa,laNkAm+dadarSa
laNkAM dfzwvA,laNkAm+dfzwvA
laNkAM vraja,laNkAm+vraja
laNkAdahanameva,laNkAdahanam+eva
laNkAmaSokAKye,laNkAm+aSokAKye
laNkAmAkramituM,laNkAm+AkramituM
laNkESvarye'Byazecayat,laNkESvarye+aByazecayat
laNkopamaM mama,laNkopamam+mama
laNGanavatkutAtikftalakzaRam,laNGanavat+kutAtikftalakzaRam
laNGayetpItaBezajam,laNGayet+pItaBezajam
laNGayennityaM,laNGayet+nityaM
laNkAmaviSatAm,laNkAm+aviSatAm
laNkAmaviSat,laNkAm+aviSat
lajjatIva,lajjati+iva
lajjayAvanatamuKI,lajjayA+avanatamuKI
lajjAmanvaBavat,lajjAm+anvaBavat
lajjAmavagaRya,lajjAm+avagaRya
lajjAmApadyanta,lajjAm+Apadyanta
lajjAvadano nfpaH,lajjAvadanaH+nfpaH
lajjAvanatavadanA Asan,lajjAvanatavadanAH+Asan
lajjAvihInakarmeti,lajjAvihInakarma+iti
lajjAspadametat,lajjAspadam+etat
lajjitanayanayoryOvanasulaBakOtukaBAvamilitA,lajjitanayanayoH+yOvanasulaBakOtukaBAvamilitA
lajjitA na,lajjitAH+na
lajjitA BUtvA,lajjitAH+BUtvA
lajjito baBUva,lajjitaH+baBUva
lajjito'cintayat,lajjitaH+a'cintayat
lajjito'Bavam,lajjitaH+aBavam
lajjeyamaham,lajjeyam+aham
lajje'ham,lajje+aham
lajjamAno na,lajjamAnaH+na
lajjAruRamaBavat,lajjAruRam+aBavat
lajjAspadamamanyata,lajjAspadam+amanyata
laqqukESca,laqqukEH+ca
laRqannagarameva,laRqannagaram+eva
laRqannagare'pi,laRqannagare+api
latAgfhAntarito BUtvA,latAgfhAntaritaH+BUtvA
latAnAmaNguladvayam,latAnAm+aNguladvayam
latAviSezo'valokito,latAviSezaH+avalokita
latAvfkzErviBUzitam,latAvfkzEH+viBUzitam
latASca,latA+ca
latASca,latAH+ca
latikASca,latikAH+ca
labDamiti,labDam+iti
labDamidam,labDam+idam
labDameva,labDam+eva
labDavaro'yaM,labDavaraH+ayaM
labDavAnAsIt,labDavAn+AsIt
labDavijayo BUpaH,labDavijayaH+BUpaH
labDaveva,labDavA+iva
labDenEkena,labDena+ekena
labDvA'vakASaM,labDvA+avakASaM
labDapratizWaSca,labDapratizWaH+ca
labDamaBUt,labDam+aBUt
labDavAnAsIt,labDavAn+AsIt
labDasTitIni,labDaH+sTitini
labDAstarhi,labDAH+tarhi
labDo'BUt,labDaH+aBUt
labDvEva,labDvA+eva
laBata iti,laBate+iti
laBate'sO,laBate+asO
laBeTAstarhi,laBeTAH+tarhi
laBeyeti,laBeya+iti
laByA nAsan,laByAH+nAsan
lambaSiKABUzitaM SiraH,lambaSiKABUzitam+SiraH
lambitAmaBiyogasUcIM,lambitAm+aBiyogasUcIM
layaM nayet,layam+nayet
layantaTA,layam+taTA
layannItvA,layam+nItvA
layameti,layam+eti
layasaYjYaM viBAvayet,layasaYjYam+viBAvayet
layAntamuccArya,layAntam+uccArya
layAntamuccAryya,layAntam+uccAryya
lalAwanAsikAvaktragrIvAyAYca,lalAwanAsikAvaktragrIvAyAm+ca
lalitAnyalakAni,lalitAni+alakAni
lavaRajalaM vA,lavaRajalam+vA
lavaRAdirupEkArTa,lavaRAdirupa+ekArTa
lavaRo gaRaH,lavaRaH+gaRaH
lavaSazacayasASca,lavaSazacayasAH+ca
laSuno BfSatIkzRozRaH,laSunaH+BfSatIkzRozRaH
lAkzaRikapadArTadvayasmftyAderhetutAsamBavaH,lAkzaRikapadArTadvayasmftyAdeH+hetutAsamBavaH
lAkzaRikasyAnuBAvakatve,lAkzaRikasya+anuBAvakatve
lAkzaRikasyEva,lAkzaRikasya+eva
lAkzaRikApaBraMSayorvAcakatvAtiprasaNgaH,lAkzaRikApaBraMSayoH+vAcakatvAtiprasaNgaH
lAkzaRikArTaparA''p,lAkzaRikArTaparA+Ap
lAkzAgfhamagninA,lAkzAgfham+agninA
lAGavaM boDyam,lAGavam+boDyam
lAGavaM sahakAri,lAGavam+sahakAri
lAGavagOravaM na,lAGavagOravam+na
lAGavagOravavicArosaMgata,lAGavagOravavicAraH+asaMgata
lAGavapakzapAtitvAdvA,lAGavapakzapAtitvAt+vA
lAGavamityata,lAGavam+ityata
lAGavam boDyam,lAGavam+boDyam
lAGavasaMBavA,nirRayatva+aniveSena
lAGavasahakftenEkatvasidDO,lAGavasahakftena+ekatvasidDO
lAGavasyAkzatatvAt,lAGavasya+akzatatvAt
lAGavasyAti,lAGavasya+ati
lAGavasyAnapAyAt,lAGavasya+anapAyAt
lAGavasyAparihArAt,lAGavasya+aparihArAt
lAGavAtAdfSAnupUrvaprakAraka,lAGavAtAdfSa+AnupUrvaprakAraka
lAGavAttatatpadArTAnvaye,lAGavAttatat+padArTAnvaye
lAGavAttatsUcanAya viBaktitvenopAdAnamiti,lAGavAt+tatsUcanAya
lAGavAttAtparyajYAnasyEva,lAGavAttAtparyajYAnasya+eva
lAGavAttAdfSasAmagryaBAvasya,lAGavAt+tAdfSasAmagryaBAvasya
lAGavAttAvatApi,lAGavAt+tAvatApi
lAGavAtsamavAyena,lAGavAt+samavAyena
lAGavAtsvatvAdeH,lAGavAt+svatvAdeH
lAGavAdatirikta,lAGavAt+atirikta
lAGavAdAkAMkzAjYAnahetutAsidDiH,lAGavAt+AkAMkzAjYAnahetutAsidDiH
lAGavAdADeyatA,lAGavAt+ADeyatA
lAGavAdAha,lAGavAt+Aha
lAGavAditi,lAGavAt+iti
lAGavAdISvarasya,lAGavAt+ISvarasya
lAGavAdupanayasya,lAGavAt+upanayasya
lAGavAdeva,lAGavAt+eva
lAGavAdGawapadatva,lAGavAt+Gawapadatva
lAGavAddaRqatva,lAGavAt+daqatva
lAGavAdDetutve,lAGavAt+hetutve
lAGavAdvivakzitam,lAGavAt+vivakzitam
lAGavAdviSizwavESizwyavizayatAyA,lAGavAt+viSizwavESizwyavizayatAyA
lAGavAntaraM darSayati,lAGavAntaram+darSayati
lAGavABAvAditi,lAGavABAvAt+iti
lAGavenAnityaptAnatvAvacCedena,lAGavena+anityaptAnatvAvacCedena
lAGavenAvacCedakatvAt,lAGavena+avacCedakatvAt
lAGavenetyarTaH,lAGavena+ityarTaH
lAGavepi,lAGave+api
lAGavezvanugatarUpABAvAt,lAGavezu+anugatarUpABAvAt
lAGavopanItatvamapi,lAGavopanItatvam+api
lAGavopanItEkamAtra,lAGavopanIta+ekamAtra
lAGavopabfMhitaM koSAdyeva,lAGavopabfMhitam+koSAdyeva
lAGavopayuktoga,lAGavopayuktaH+ga
lANgUlaM dIptapucCaH,lANgUlam+dIptapucCaH
lANgUlanizWaviSezyatAmAdAya,lANgUlanizWaviSezyatAm+AdAya
lANgUlamAdIpya,lANgUlam+AdIpya
lANgUlAdAveva,lANgUlAdO+eva
lAjacandanasidDArTaBasmadUrvAkzataM kuSAn,lAjacandanasidDArTaBasmadUrvAkzatam+kuSAn
lAjayEkataH,lAjayA+ekataH
lAjAstfwCardyatIsAramehamedaH,lAjAH+tfwCardyatIsAramehamedaH
lAYCayedupabadDAya,lAYCayet+upabadDAya
lAYCitaM jAtam,lAYCitam+jAtam
lAdInAmapyupayogo,lAdInAmapyupayaH+go
lAdInAhuH,lAdIn+AhuH
lABamavekzya,lABam+avekzya
lABamAlakzya,lABam+Alakzya
lABamevA'nyaH,lABameva+anyaH
lABAditi,lABAt+iti
lABAdvahnO,lABAt+vahnO
lABAnna,lABAt+na
lABAnvitA Bavanti,lABAnvitAH+Bavanti
lABArTamasti,lABArTam+asti
lAlagIti,lAlak+iti
lAlanamasahamAnaH,lAlanam+asahamAnaH
lAvaRyamAsIt,lAvaRyam+AsIt
lAvaRyenAsantuzyan,lAvaRyena+asantuzyan
lAvavArtIkavArtIraraktavartmakakukkuBAH,lAvavArtIkavArtIH+araktavartmakakukkuBAH
liKannAsIt,liKan+AsIt
liKitamAsIt,liKitam+AsIt
liKitamAsId,liKitam+AsId
liKitamyatkim,liKitamyat+kim
liKitAdvE,liKitAt+vE
liKiteti,liKitA+iti
liKitoyam,liKitaH+ayam
liKito'BUt,liKitaH+aBUt
liKitvAkenacinmOninA,liKitvAkenacit+mOninA
liKitvA'pi,liKitvA+api
liKedarAn,liKet+arAn
liKedicCAnurUpataH,liKet+icCAnurUpataH
liKennaraH,liKet+naraH
liNapadaprakArako boDaviSezyakaH,liNapadaprakArakaH+boDaviSezyakaH
liNarTe'nvayaH,liNarTe+anvayaH
liNgaM kuryyAt,liNgam+kuryyAt
liNgaM dvArasya,liNgam+dvArasya
liNgaM DUpAdiBiH,liNgam+DUpAdiBiH
liNgaM mUrttimantreRa,liNgam+mUrttimantreRa
liNgaM SirasA,liNgam+SirasA
liNgaM saNkrAmayet,liNgam+saNkrAmayet
liNgakaparAmarSajanyAnumitO,liNgakaparAmarSajanya+anumitO
liNgakasAsnAdyanumAne'pi,liNgakasAsnAdyanumAne+api
liNgakAnumitO,liNgaka+anumitO
liNgacEtanyaM kuryyAt,liNgacEtanyam+kuryyAt
liNgajYAnasyAnumitipratibanDakatvAt,liNgajYAnasya+anumitipratibanDakatvAt
liNgateti,liNgatA+iti
liNgatvaM na,liNgatvam+na
liNgatvadarSanAditi,liNgatvadarSanAt+iti
liNgatvABAvAditi,liNgatvABAvAt+iti
liNganDAmni,liNgam+DAmni
liNgapadamatra,liNgapadam+atra
liNgaparAmarSa iti,liNgaparAmarSaH+iti
liNgaparAmarSa ityarTaH,liNgaparAmarSaH+ityarTaH
liNgaparAmarSasyAnumAnatvaM,liNgaparAmarSasya+anumAnatvaM
liNgapratizWAM ca,liNgapratizWAm+ca
liNgamaDyAgrakaM spfSet,liNgamaDyAgrakam+spfSet
liNgamAnAdikaM SfRu,liNgamAnAdikam+SfRu
liNgamISake,liNgam+ISake
liNgamudrAM namaskftim,liNgamudrAm+namaskftim
liNgamUlaM ca,liNgamUlam+ca
liNgametat,liNgam+etat
liNgayogyAdimatvarUpaliNgasya,liNgayaH+gyAdimatvarUpaliNgasya
liNgayorasADAraRaDarmatvena,liNgayoH+asADAraRaDarmatvena
liNgaromavatvaM puMstvam,liNgaromavatvam+puMstvam
liNgalakzaRaM nAma,liNgalakzaRam+nAma
liNgavacanavyatyayo nityanapuMsakatvena,liNgavacanavyatyayaH+nityanapuMsakatvena
liNgaviSezyakabADitatvAdijYAnasyAnumitipratibanDakatvam,liNgaviSezyakabADitatvAdijYAnasya+anumitipratibanDakatvam
liNgavizayatvenApi,liNgavizayatvena+api
liNgavyatyAsakalpanAnOcityAt,na+OcityAt
liNgavyatyAsenAndapadasya,suKam+evArTaH
liNgasambanDastaTA,liNgasambanDaH+taTA
liNgasyAnvayavyatirekyAdirUpeRa,liNgasya+anvayavyatirekyAdirUpeRa
liNgasyApi,liNgasya+api
liNgasyAsaMgrahApatteH,liNgasya+asaMgrahApatteH
liNgasyEva,liNgasya+eva
liNgasyottarataH,liNgasya+uttarataH
liNgAdilakzaRaM vakzye,liNgAdilakzaRam+vakzye
liNgAderapi,liNgAdeH+api
liNgAnAM dIrGatA,liNgAnAm+dIrGatA
liNgAnIti,liNgAni+iti
liNgitaM Bavet,liNgitam+Bavet
liNgenAnumitijananApatteH,liNgena+anumitijananApatteH
liNge'tivyAptiH,liNge+ativyAptiH
liNge'tivyAptivAraRAya,liNge+ativyAptivAraRAya
liNpadaprakArakasaNketa ekaH,liNpadaprakArakasaNketaH+ekaH
liNSaktiritiprABAkarAH,liNSaktiH+itiprABAkarAH
lipikaraRe'SudDayA,lipikaraRe+aSudDayA
lipto yaH,liptaH+yaH
lipyakzarARAmapi,lipyakzarARAm+api
lipyakzarAdarTapratipattivaditi,lipyakzarAdarTapratipattivat+iti
lipsurvicakzaRaH,lipsuH+vicakzaRaH
lipsorvaram,lipsaH+varam
limpatIva,limpati+iva
limpedgomayavAriRA,limpet+gomayavAriRA
lihyAtsaktUn,lihyAt+saktUn
lInamarTaM,lInam+arTaM
lIlayEva,lIlayA+eva
luRwAkasyAsya,luRwAkasya+asya
luRWakASca,luRWakAH+ca
luRWAkamiva,luRWAkam+iva
luRWito jAtaH,luRWitaH+jAtaH
luRWanaM kriyate,luRWanam+kriyate
lupAmeva,lupAm+eva
luptadvitIyAviBaktismaraReneti,luptadvitIyAviBaktismaraRena+iti
luptazazWIviBakteranusanDAne,luptazazWIviBakteH+anusanDAne
luptvorDvadeSataH,luptvA+UrDvadeSataH
luptaDEryAsIt,luptaDErya+AsIt
lubDA ye,lubDAH+ye
lubDASca,lubDAH+ca
lumpeddalasya,lumpet+dalasya
leKakacitraM BUyo,leKakacitram+BUyo
leKakacitrasyopari,leKakacitrasya+upari
leKakaSiromaRirmilati,leKakaSiromaRiH+milati
leKakasyAtra,leKakasya+atra
leKako'sya,leKakaH+asya
leKanamAdizu,leKanam+Adizu
leKanaratamekaM,leKanaratam+ekaM
leKanasAmagrImapi,leKanasAmagrIm+api
leKanasyABinayaM,leKanasya+aBinayaM
leKanasyABinayaM,leKanasyaH+aBinayaM
leKanIkampo'sUcayat,leKanIkampaH+asUcayat
leKanImagfhaRAt,leKanIm+agfhaRAt
leKanImimAm,leKanIm+imAm
leKanImutTApya,leKanIm+utTApya
leKanIyameva,leKanIyam+eva
leKanIye'TavA,leKanIye+aTavA
leKano hitaH,leKanaH+hitaH
leKamekaM,leKam+ekaM
leKAMSca,leKAn+ca
leKAstAni,leKAH+tAni
leKitamAsIt,leKitam+AsIt
leQumAreBe,leQum+AreBe
lepAByaNgErGnanti,lepAByaNgEH+Gnanti
lepASca,lepAH+ca
leSato'pi,leSataH+api
leSamapi,leSam+api
leSamAtramapi,leSamAtram+api
le'BAvABAve,le+aBAvABAve
loka udvijate,lokaH+udvijate
lokakalyARamapekzamARaH,lokakalyARam+apekzamARaH
lokatrayaM hi,lokatrayam+hi
lokatrayamAviSya,lokatrayam+AviSya
lokapAlaGawAnapi,lokapAlaGawAn+api
lokapAlAMSca,lokapAlAn+ca
lokapAlARuBirnyasya,lokapAlARuBiH+nyasya
lokapAlAdikaM kramAt,lokapAlAdikam+kramAt
lokapratyayArTamasyAH,lokapratyayArTam+asyAH
lokapriyo Bavati,lokapriyaH+Bavati
lokapriyo yuvA,lokapriyaH+yuvA
lokamimam,lokam+imam
lokamuKAd vijYAya,lokamuKAt+vijYAya
lokarItyA''dftA,lokarItyA+AdftA
lokavacanAdapi,lokavacanAt+api
lokavyavahArAMSca,lokavyavahArAn+ca
lokavyavahArAdvijYAyate,lokavyavahArAt+vijYAyate
lokaSaraRyaSca,lokaSaraRyaH+ca
lokA ahasan,lokAH+ahasan
lokA idaM,lokAH+idaM
lokA upahasanti,lokAH+upahasanti
lokA BinnarUcisTitAH,lokAH+BinnarUcisTitAH
lokA BUrAdikA,lokAH+BUrAdikAH
lokA BfSaM,lokAH+BfSaM
lokA mAM,lokAH+mAM
lokA yena,lokAH+yena
lokA laBante,lokAH+laBante
lokA vipaTagamane,lokAH+vipaTagamane
lokA vismayaM,lokAH+vismayaM
lokAMSca,lokAn+ca
lokAdeva,lokAt+eva
lokAnAYca,lokAnAm+ca
lokAntaramagAt,lokAntaram+agAt
lokAntaraM gate,lokAntaram+gate
lokApavAdato BItaH,lokApavAdataH+BItaH
lokArpaRaM kasya,lokArpaRam+kasya
lokArpaRaM keSavaprasAdena,lokArpaRam+keSavaprasAdena
lokArpaRaM viDAsyanti,lokArpaRam+viDAsyanti
lokAliNgakatvasyApi,lokAliNgakatvasya+api
lokAstatPalAni,lokAH+tatPalAni
lokAstezAM,lokAH+tezAM
lokAste'pi,lokAH+te'pi
lokeSAnAmagnaye,lokeSAnAm+agnaye
lokeSAnAmaTo,lokeSAnAm+aTo
lokeSo dehake,lokeSaH+dehake
loke'pavAdapadaM,loke+apavAdapadaM
loke'rjitapratizWaH,loke+arjitapratizWaH
loke'vatArayAmAsa,loke+avatArayAmAsa
loke'smin,loke+asmin
lokEraparijYAtAH,lokEH+aparijYAtAH
lokErapi,lokEH+api
loko laBate,lokaH+laBate
lokodayo jAyate,lokodayaH+jAyate
lopikABirardDe,lopikABiH+ardDe
lopImaditaye,lopIm+aditaye
loBamApadya,loBam+Apadya
loBamApannaH,loBam+ApannaH
loBavaSamApadya,loBavaSam+Apadya
loBavaSAtte,loBavaSAt+te
loBAdikamapi,loBAdikam+api
loBABiBUtA janAH,loBABiBUtAH+janAH
loBABiBUtAste,loBABiBUtAH+te
loBinastasya,loBinaH+tasya
loBenAsmAkaM,loBena+asmAkaM
loBo dozezu,loBaH+dozezu
lomatvalANgUlatvayorapi,lomatvalANgUlatvayoH+api
lomatvaSaktamityAkArakatayA,lomatvaSaktam+ityAkArakatayA
lomatvAdAveva,lomatvAdO+eva
lomatvAdisaMsargamAnamAdAya,lomatvAdisaMsargamAnam+AdAya
lomatvAderTarmiviSezaRatayA,lomatvAdeH+DarmiviSezaRatayA
lomatvAvacCinnatvavadupeyate,lomatvAvacCinnatvavat+upeyate
lomatvenEva,lomatvena+eva
lomanizWaprakAratAtmaka,lomanizWaprakArata+Atmaka
lomaviSezyaketarAnvayaboDavAraRe'pi,lomaviSezyaketarAnvayaboDavAraRe+api
lomaSAmAdiSat,lomaSAm+AdiSat
lomaSo'BaRat,lomaSaH+aBaRat
lomasyApi,lomasya+api
lomAdAvApadyeta,lomAdO+Apadyeta
lomAdiprakArakaSAbdaboDApattiriti,lomAdiprakArakaSAbdaboDApattiH+iti
lomAdiprakArakAnvayaboDApattirdurvArA,lomAdiprakArakAnvayaboDApattiH+durvArA
lomAdimato BAnena,lomAdimataH+BAnena
lomAdimuKyaviSezyakaboDajananAttatpadaprayojyatAmAtraniveSe,lomAdimuKyaviSezyakaboDajananAt+tatpadaprayojyatAmAtraniveSe
lomAdInAmananugatA,lomAdInAm+ananugatA
lomAvacCinnavAcakapaSupadaGawitatAdfSavAkyasTale'BAvAd,lomAvacCinnavAcakapaSupadaGawitatAdfSavAkyasTale+aBAvAd
lomnyekatvABAnAnupapattiriti,lomnyekatvABAnAnupapattiH+iti
lolayitA jAtAH,lolayitAH+jAtAH
loliko'pi,lolikaH+api
lohaparaSurapi,lohaparaSuH+api
lohamAdiSet,loham+AdiSet
lohayantrErbanDayitvA,lohayantrEH+banDayitvA
lohaSfNKalABirdfQaM,lohaSfNKalABiH+dfQaM
lohAdIMScandanAdikAn,lohAdIn+candanAdikAn
lohitavahnimAniti,lohitavahnimAn+iti
lohitavahnimAnparvata,lohitavahnimAn+parvata
lOkAyikasyeva,lOkAyikasya+iva
lOkikatvAditi,lOkikatvAt+iti
lOkikapratyakzaM pratyapi,lOkikapratyakzam+pratyapi
lOkikapratyakzasAmagrItvenEva,lOkikapratyakzasAmagrItvena+eva
lOkikapratyakzasAmagrIsatvenu,lOkikapratyakzasAmagrIsatve+anu
lOkikapratyakzasyetyarTaH,lOkikapratyakzasya+ityarTaH
lOkikapratyakzotpAdaka,lOkikapratyakza+utpAdaka
lOkikaprasidDirapi,lOkikaprasidDiH+api
lOkikalAkzaRikezvapi,lOkikalAkzaRikezu+api
lOkikavizayatASAlinIti,lOkikavizayatASAlinI+iti
lOkikavizayatASAlipratyakzaviSezasyetyarTaH,lOkikavizayatASAlipratyakzaviSezasya+ityarTaH
lOkikavizayatvaM dvitIyArTaH,lOkikavizayatvam+dvitIyArTaH
lOkikavizayatvamiti,lOkikavizayatvama+iti
lOkikavizayatvamiti,lOkikavizayatvam+iti
lOkikavizayitAtvasAmAnADikaraRyenEvAkASaBAvAnvaye,lOlOkikavizayitAtvasAmAnADikaraRyena+evAkASaBAvAnvaye
lOkikavizayitAtvasAmAnADikaraRyenEveti,lOkikavizayitAtvasAmAnADikaraRyena+eveti
lOkikavizayitAyAM nirUpitatvasambanDAvacCinnapratiyogitAkAkASABAvaBAne,lOkikavizayitAyAm+nirUpitatvasambanDAvacCinnapratiyogitAkAkASABAvaBAne
lOkikavizayitAyAM nirUpitatvasambanDAvacCinnapratiyogitAkAkASABAvasya,lOkikavizayitAyAm+nirUpitatvasambanDAvacCinnapratiyogitAkAkASABAvasya
lOkikavizayitAyAmAkASaBAvopapAdayatAM matamupanyasya,lOkikavizayitAyAmAkASaBAvopapAdayatAm+matamupanyasya
lOkikavizayitASAlicAkzuzASrayatvABAvavAMScEtra,lOkikavizayitASAlicAkzuzASrayatvABAvavAn+cEtra
lOkikavizayitASUnyatvavirahAnnAnupapattiH,lOkikavizayitASUnyatvavirahAnna+anupapattiH
lOkikasannikarzAjanyadozaviSezAjanyatadDarmikatadvattAbudDiM prati,lOkikasannikarzAjanyadozaviSezAjanyatadDarmikatadvattAbudDim+prati
lOkikA iti,lOkikAH+iti
lOkikASca,lOkikAH+ca
lOkike'rTe,lOkike+arTe
lOhakArzApaRA santi,lOhakArzApaRAH+santi
lOhamAlikAM gumPati,lOhamAlikAm+gumPati
lOhityavahnyuBayaparyApta,lOhityavahni+uBayaparyApta
lOhityAMSe,lOhitya+aMSe
lOhityABAvavAnparvata,lOhityABAvavAn+parvata
lyuqantapacanapadAvyavahitottarasupadatvarUpAevamaBedena,lyuqantapacanapadAvyavahitottarasupadatvarUpAevam+aBedena
lyuqAdInAM BAvavihitatvena,lyuqAdInAm+BAvavihitatvena
lyuqAderaDikaraRA,lyuqAdeH+aDikaraRA
lyuqAderaDikaraRAparatvagrahakAle,lyuqAdeH+aDikaraRAparatvagrahakAle
lyuqAderaDiraRaparatvagrahe,lyuqAdeH+aDikaraRaparatvagrahe
