yasmAjjAyate,yasmAt+jAyate
jYAneneti,jYAnena+iti
Gawa iti,GawaH+iti
utpadyata ityarTaH,utpadyate+ityarTaH
yeneti,yena+iti
yenotpannena,yena+utpannena
Gawa eva,GawaH+eva
nAnyaH,na+anyaH
pawAdiriti,pawAdiH+iti
sidDyatIti,sidDyati+iti
Gawa iti,GawaH+iti
pratyakzameva,pratyakzam+eva
tataSca,tataH+ca
ata ityAdinA,ataH+ityAdinA
jYAto GawaH,jYAtaH+GawaH
Gawa iti,GawaH+iti
Gawa iti,GawaH+iti
tattatkriyAjanyaPalaSAlitvABAve'pi,tattatkriyAjanyaPalaSAlitvABAve+api
tataSca,tataH+ca
parihAramAcazwe,parihAram+Acazwe
bADakamAha,bADakam+Aha
itaraTeti,itaraTA+iti
jYAnajanitajYAtatADArasyEva,jYAnajanitajYAtatADArasya+eva
vizayitvamiti,vizayitvam+iti
syAdityarTaH,syAt+ityarTaH
hetumAha,hetum+Aha
tatreti,tatra+iti
ityata Aha,ityataH+Aha
asatIti,asati+iti
ityakzarArTaH,iti+akzarArTaH
ayamASayaH,ayam+ASayaH
svaBAvAdeva,svaBAvAt+eva
nANgIkarozi,na+aNgIkarozi
jYAtatAKyamupakAraM,jYAtatAKyam+upakAraM
Gawa eva,GawaH+eva
kaTamupapadyate,kaTam+upapadyate
kenacitpfzwaH,kenacit+pfzwaH
kimuttaraM,kim+uttaraM
GawasyApi,Gawasya+api
svaBAvAdeva,svaBAvAt+eva
vizayatvamaNgIkuruzva,vizayatvam+aNgIkuruzva
taduktam,tat+uktam
suGawatve'pi,suGawatve+api
satyarTe'sati,satyarTe+asati
gatiranyaTA,gatiH+anyaTA
ceti,ca+iti
jYAnajanitajYAtatADAratvenEva,jYAnajanitajYAtatADAratvena+eva
jYAtatAyA api,jYAtatAyAH+api
Bavatviti,Bavatu+iti
pratyAha,prati+Aha
ceti,ca+iti
samADiriti,samADiH+iti
aTeti,aTa+iti
yadyevaM,yadi+evaM
Gawa eva,GawaH+eva
svaBAvavAda ASrIyatAm,svaBAvavAdaH+ASrIyatAm
cediti,cet+iti
ityAha,iti+Aha
astviti,astu+iti
jYAtatAByupagamyeta,jYAtatA+aByupagamyeta
mamApi,mama+api
taTApIti,taTApi+iti
jYAtatANgIkAre'pi,jYAtatANgIkAre+api
pramARajYAnaniyateneti,pramARajYAnaniyatena+iti
sidDyatItyarTaH,sidDyati+ityarTaH
aTeti,aTa+iti
mAstu,mA+astu
tataSca,tataH+ca
kzatiriti,kzatiH+iti
yadyevaM,yadi+evaM
ko vA,kaH+vA
cediti,cet+iti
idaMSabdArTamAha,idaMSabdArTam+Aha
jYAtatAviSezeReti,jYAtatAviSezeRA+iti
pakzo na,pakzaH+na
tyajyata iti,tyajyate+iti
yadyevaM,yadi+evaM
prAmARyamapi,prAmARyam+api
parataHSabdArTamAha,parataHSabdArTam+Aha
tad grAhyaM,tat+grAhyaM
yadaprAmARikaM,yat+aprAmARikaM
tatparityAjyam,tat+parityAjyam
taduktam,tat+uktam
bAlAgraSataBAgo'pi,bAlAgraSataBAgaH+api
kalpyo nizpramARikaH,kalpyaH+nizpramARikaH
subahUnyapi,subahUni+api
tasmAdaprAmARikatvena,tasmAt+aprAmARikatvena
tadviSezatvAdapramAvat,tadviSezatvAt+apramAvat
parato jYAyate,parataH+jYAyate
udayanamanumAnadvayaM,udayanam+anumAnadvayaM
dviprakAre'pi,dviprakAre+api
tenEva,tena+eva
sahEva,saha+eva
atrocyate,atra+ucyate
prAmARyajYAnahetutve'pi,prAmARyajYAnahetutve+api
kadAcitpratibadDaSaktikatayA,kadAcit+pratibadDaSaktikatayA
tadasAram,tat+asAram
tenEva,tena+eva
tadgataprAmARyamapi,tadgataprAmARyam+api
jYAnotpatteranantaraM,jYAnotpatteH+anantaraM
mamotpannaM,mama+utpannaM
pramARamapramARaM,pramARam+apramARaM
ceveti,ca+iveti
kasyacidapi,kasyacit+api
saMdeho na,saMdehaH+na
mugDo'pi,mugDaH+api
sTARurvA,sTARuH+vA
veti,vA+iti
pramARamapramARaM,pramARam+apramARaM
ceti,ca+iti
bahava upalaByante,bahavaH+upalaByante
yaduktaM,yat+uktaM
boDAtmakatvenEva,boDAtmakatvena+eva
prAmARyamiti,prAmARyam+iti
tadayuktam,tat+ayuktam
SuktirajatAdijYAnasyApi,SuktirajatAdijYAnasya+api
yAvadboDaM,yAvat+boDaM
tasyApi,tasya+api
bADotpatteranupapatteH,bADotpatteH+anupapatteH
parataHprAmARyapakze'navasTApattiH,parataHprAmARyapakze+anavasTApattiH
svataHprAmARyapakze'pi,svataHprAmARyapakze+api
kfta iti,kftaH+iti
jYAnagrAhakAdanyena,jYAnagrAhakAt+anyena
hIti,hi+iti
tAvad dviviDaM,tAvat+dviviDaM
vyavasAyarUpamanuvyavasAyarUpaM,vyavasAyarUpam+anuvyavasAyarUpaM
ceti,ca+iti
vyavasAyo vizayavizayaM,vyavasAyaH+vizayavizayaM
jYAnamanuvyavasAyaH,jYAnam+anuvyavasAyaH
cAyaM,ca+ayaM
Gawa iti,GawaH+iti
jYAto'yaM,jYAtaH+ayaM
Gawa iti,GawaH+iti
jYAnagataprAmARyajYApakamanumAnaM,jYAnagataprAmARyajYApakam+anumAnaM
taTAhIti,taTAhi+iti
dvEviDyameva,dvEviDyam+eva
PalavatyaPalA,Palavati+aPalA
ceti,ca+iti
svarUpamAha,svarUpam+Aha
PalavatIti,PalavatI+iti
evoktaM,eva+uktaM
punarasyAH,punaH+asyAH
PalenABisaMbanDaH,Palena+aBisaMbanDaH
taTeti,taTA+iti
uktamarTaM,uktam+arTaM
prayujyata iti,prayujyate+iti
pradarSyata ityarTaH,pradarSyate+ityarTaH
pramARamapramARaM,pramARam+apramARaM
ceti,ca+iti
vivAdenADizWitaM,vivAdena+aDizWitaM
ityata Aha,ityataH+Aha
vEDarmyadfzwAntamAha,vEDarmyadfzwAntam+Aha
kevalavyatirekIti,kevalavyatirekI+iti
ceti,ca+iti
ityAha,iti+Aha
yaTArTatvamiti,yaTArTatvam+iti
pramARamityAdO,pramARam+ityAdO
kimityatra,kim+ityatra
BaNgyantaramASrIyate,BaNgyantaram+ASrIyate
tatrAha,tatra+Aha
tviti,tu+iti
uBayorapi,uBayoH+api
tatpratipAdyatvameva,tatpratipAdyatvam+eva
cArTe,ca+arTe
vArTaH,vA+arTaH
sidDAnta iti,sidDAntaH+iti
hetvABAsatvaM tadA,hetvABAsatvam+tadA
AdyaM lakzaRam,Adyam+lakzaRam
granTamayUyujan,granTam+ayUyujan
tadayuktam,tat+ayuktam
granTo yujyateKa,granTaH+yujyateKa
upADIti,upADi+iti
yadyapyupADijYAne,yadyapi+upADijYAne
taditi,tat+iti
vivakzitamiti,vivakzitam+iti
upADyAyasamADiM pragalBoktena,upADyAyasamADim+pragalBoktena
ceti,ca+iti
tatkAlIna iti,tatkAlInaH+iti
ityarTaH,iti+arTaH
kadAciditi,kadAcit+iti
hetvaBimatatvamiti,hetvaBimatatvam+iti
noktadozaH,na+uktadozaH
vahnivyaBicAritvamapi,vahnivyaBicAritvam+api
kadAcidDetutayA,kadAcid+hetutayA
prayujyata iti,prayujyate+iti
tasyApi,tasya+api
tadavacCedakAvacCinnatvaM tadA,tadavacCedakAvacCinnatvam+tadA
tasyApi,tasya+api
ceti,ca+iti
samUheti,samUha+iti
prameyatvamanityatvavyaBicAri,prameyatvam+anityatvavyaBicAri
ceti,ca+iti
ceti,ca+iti
pratibanDakateti,pratibanDakatA+iti
hIti,hi+iti
AkAMNkzAvirahAditi,AkAMNkzAvirahAt+iti
upADayo yadavacCinnAnumitiH,upADayaH+yadavacCinnAnumitiH
ityAkAMkzeti,ityAkAMkzA+iti
sopADikatvenApi,sopADikatvena+api
viBAgApatteriti,viBAgApatteH+iti
dravyalakzaRatve'pi,dravyalakzaRatve+api
bADa eva,bADaH+eva
neti,na+iti
vadatAM mate,vadatAm+mate
dozAntaramAhaapi,dozAntaram+Ahaapi
ceti,ca+iti
sadDetuvizayaparAmarSasyEva,sadDetuvizayaparAmarSasya+eva
janakatvapratibanDakatvayorviroDaH,janakatvapratibanDakatvayoH+viroDaH
atrApi,atra+api
viroDisaMvalanadaSAyAM pratibanDakatAvacCedakatvAt,viroDisaMvalanadaSAyAm+pratibanDakatAvacCedakatvAt
tadavicAritaramaRIyam,tat+avicAritaramaRIyam
aparahetuvizayakatvenEva,aparahetuvizayakatvena+eva
maRyAdisamavaDAnakAlInavahnyAderapi,maRyAdisamavaDAnakAlInavahnyAdeH+api
anumitidAhapratibanDakatvApatteriti,anumitidAhapratibanDakatvApatteH+iti
dozAntaramAha,dozAntaram+Aha
ceti,ca+iti
sadDeturna,sadDetuH+na
hetvABAsa iti,hetvABAsaH+iti
ceti,ca+iti
viSezaRatvameva,viSezaRatvam+eva
ceti,ca+iti
vyaBicArAdInAM tAdfSajYAnAvfttitvena,vyaBicArAdInAm+tAdfSajYAnAvfttitvena
AhaanumitIti,Ahaanumiti+iti
liNgasyApi,liNgasya+api
uktaM liNgAnyatve,uktam+liNgAnyatve
satIti,sati+iti
meyatvAdityAdO,meyatvAt+ityAdO
sADyavyApyatvenAlakzyatvAt,sADyavyApyatvena+alakzyatvAt
cAtra,cA+atra
vyaBicAra iti,vyaBicAraH+iti
jYAnasyAnumitipratibanDakatayA,jYAnasya+anumitipratibanDakatayA
jYAneti,jYAna+iti
upalakzaRameva,upalakzaRam+eva
hIti,hi+iti
sarvaM prati,sarvam+prati
satpratipakzasyApi,satpratipakzasya+api
taTAtvaM na,taTAtvam+na
Ahataditi,Ahatat+iti
puMviSezaM prati,puMviSezam+prati
sidDiriti,sidDiH+iti
sambanDasAmAnyaM sidDam,sambanDasAmAnyam+sidDam
aDikaraRABAvayorapi,aDikaraRABAvayoH+api
granTArTamAhaga,granTArTam+Ahaga
ceti,ca+iti
tajjYAnasyeti,tajjYAnasya+iti
ata eva,ataH+eva
tadaBAvajYAnotpattAvapi,tadaBAvajYAnotpattO+api
sambanDakalpanamiti,sambanDakalpanam+iti
ananyagatyeti,ananyagatyA+iti
svarUpAsidDasyApi,svarUpAsidDasya+api
ceti,ca+iti
tadvizayatayeti,tadvizayatayA+iti
vahnivyaBicAritvamiti,vahnivyaBicAritvam+iti
vahnivyaBicAritvAdiDarme'tivyAptiH,vahnivyaBicAritvAdiDarme+ativyAptiH
yaTArTatvAcca,yaTArTatvAt+ca
bADasatpratipakzayoravyAptyApatteH,bADasatpratipakzayoH+avyAptyApatteH
vivakzitamiti,vivakzitam+iti
tatsambanDaH,tat+sambanDaH
sambanDaSca,sambanDaH+ca
duzwatvavyavahAraprayojaka eva,duzwatvavyavahAraprayojakaH+eva
anyatrASrayatvam,anyatra+ASrayatvam
vahnivyaBicAritvAderapi,vahnivyaBicAritvAdeH+api
evaM hi,evam+hi
vahnivyaBicArAderapi,vahnivyaBicArAdeH+api
kiM ca,kim+ca
viSezadarSanadaSAyAmapi,viSezadarSanadaSAyAm+api
tadAnImuktasya,tadAnIm+uktasya
yaTArTatvAcca,yaTArTatvAt+ca
cAsADAraRe,ca+asADAraRe
nAnumitipratibanDakatAvacCedakam,na+anumitipratibanDakatAvacCedakam
kiM tu,kim+tu
yannityatvAdi,yat+nityatvAdi
tajjYAnasya,tat+jYAnasya
tatrApi,tatra+api
tadaBAvatAjYAnaka,tat+aBAvatAjYAnaka
tadviSezatayeti,tadviSezatayA+iti
vahnivyaBicAra iva,vahnivyaBicAraH+iva
anumitipratibanDakatAvacCedakavattvagocarayaTArTajYAnaviSezyatvameva,anumitipratibanDakatAvacCedakavattvagocarayaTArTajYAnaviSezyatvam+eva
pratibanDakatAvacCedakaM ca,pratibanDakatAvacCedakam+ca
avaSyamanumitipratibanDaH,avaSyam+anumitipratibanDaH
nAvyAptiH,na+avyAptiH
evAvacCedakasya,eva+avacCedakasya
tatrAnityatayA,tatra+anityatayA
taccintyam,tat+cintyam
vipakzagAmitvajYAnakAlInaDUmajYAnasyAnumitipratibanDakatvena,vipakzagAmitvajYAnakAlInaDUmajYAnasya+anumitipratibanDakatvena
tatsAmagrIkAlInatvavati,tat+sAmagrIkAlInatvavati
DUmAdihetAvativyAptyApatteH,DUmAdihetO+ativyAptyApatteH
anumitipratibanDakajYAnavizayasOtraviBAjakopADimattvamuktalakzaRArTaH,anumitipratibanDakajYAnavizayasOtraviBAjakopADimattvam+uktalakzaRArTaH
noktadozaH,na+uktadozaH
tasyAnumitipratibanDakajYAnAvizayatvAt,tasya+anumitipratibanDakajYAnAvizayatvAt
nAntyaH,na+antyaH
nAmAnumitipratibanDakajYAnavizayatAvacCedakatvam,nAma+anumitipratibanDakajYAnavizayatAvacCedakatvam
tadvEyarTyam,tat+vEyarTyam
pratisADanasyEva,pratisADanasya+eva
tadvattvABAvAdavyAptiH,tadvattvABAvAt+avyAptiH
pratibanDakatAvacCedakatvaM ca,pratibanDakatAvacCedakatvam+ca
duzwatvaprayojakasambanDasyEva,duzwatvaprayojakasambanDasya+eva
liNgasambanDastaTA,liNgasambanDaH+taTA
tatsattve'pi,tatsattve+api
tatrEva,tatra+eva
tadavyavahArAt,tat+avyavahArAt
ata eva,ataH+eva
pratisADanasambanDamAdAya,pratisADanasambanDam+AdAya
nAtivyAptiH,na+ativyAptiH
jYAnasambanDamAtrasyEva,jYAnasambanDamAtrasya+eva
upADisambanDasyApi,upADisambanDasya+api
tatrAtivyAptivArakatvAt,tatra+ativyAptivArakatvAt
liNgamapi,liNgam+api
lakzyameva,lakzyam+eva
tasyApi,tasya+api
vyaBicAritvAditi,vyaBicAritvAt+iti
lakzyatve'pi,lakzyatve+api
tatvenAlakzyatayA,tatvena+alakzyatayA
liNgamapi,liNgam+api
lakzyameva,lakzyam+eva
tAdfSasambanDavati,tAdfSasambanDe+ati
ativyAptivArakatvAcca,ativyAptivArakatvAt+ca
vyaBicArAdiDarmasyApi,vyaBicArAdiDarmasya+api
tatrAtivyAptiH,tatra+ativyAptiH
tatrAtivyAptyApatteH,tatra+ativyAptyApatteH
pratibanDakatvaM tanmatena,pratibanDakatvam+tanmatena
nAnumitisAmAnyapratibanDakatvam,na+anumitisAmAnyapratibanDakatvam
nApi,na+api
tatsADyakAnumitipratibanDakatvam,tat+sADyakAnumitipratibanDakatvam
kiM tu,kim+tu
tatpakzatAvacCedakAvacCedena,tat+pakzatAvacCedakAvacCedena
talliNgatAvacCedakAvacCinnaliNgakatatsADyatAvacCedAvacCinnavizayakAnumitipratibanDakatvam,tat+liNgatAvacCedakAvacCinnaliNgakatatsADyatAvacCedAvacCinnavizayakAnumitipratibanDakatvam
tadavacCedakAvacCedena,tat+avacCedakAvacCedena
nAvyAptiH,na+avyAptiH
vyAptyasidverapi,vyAptyasidveH+api
viSizwAnumitiviroDitvAnna,viSizwAnumitiviroDitvAt+na
tatrAvyAptiH,tatra+avyAptiH
tArRavahnibADasyApi,tArRavahnibADasya+api
viSizwAnumitipratibanDakatvAnna,viSizwAnumitipratibanDakatvAt+na
kimpakzasADyakAnumitO,kim+pakzasADyakAnumitO
ko hetvABAsa,kaH+hetvABAsa
lakzyAnugama eva,lakzyAnugame+eva
alakzyatve'piKa,alakzyatve+apiKa
ityananugamasyEvakaKa,ityananugamasya+evakaKa
vyaDikaraRAnumitAvapratibanDakatvena,vyaDikaraRAnumitO+apratibanDakatvena
tatpuruzIyatvamapi,tatpuruzIyatvam+api
jYAnaviSezaRaM deyam,jYAnaviSezaRam+deyam
taM prati,tam+prati
hetvABAsatvaM na,hetvABAsatvam+na
syAditi,syAt+iti
tadvAraRAya,tat+vAraRAya
pratibanDakatvApatteriti,pratibanDakatvApatteH+iti
padArTatvaM hetvABAsasAmAnyalakzaRam,padArTatvam+hetvABAsasAmAnyalakzaRam
sarvasyApi,sarvasya+api
kvacidanumAne,kvacit+anumAne
nirvaktavyamiti,nirvaktavyam+iti
tadvizayakatAvacCedakaM sADAraRatvAdi,tadvizayakatAvacCedakam+sADAraRatvAdi
tadvatvaM lakzaRArTaH,tadvatvam+lakzaRArTaH
svAnumityajanakatAvacCedakaDarmavatvameva,svAnumityajanakatAvacCedakaDarmavatvam+eva
taccintyam,tat+cintyam
evAnumityajanakatayA,eva+anumityajanakatayA
SilAtalAderGawAjanakatA,SilAtalAdeH+GawAjanakatA
kiM tu,kim+tu
kiM tuka,kim+tuka
liNgavizayatvenApi,liNgavizayatvena+api
Ahaaneneti,Ahaanena+iti
teneti,tena+iti
DarmiRyeva,DarmiRI+eva
pradarSitatvAditi,pradarSitatvAt+iti
jYAyamAna iti,jYAyamAnaH+iti
ityarTaH,iti+arTaH
ceti,ca+iti
pratyakzasTale'BAvAt,pratyakzasTale+aBAvAt
Ahaatreti,Ahaatra+iti
pratibanDakatvamiti,pratibanDakatvam+iti
pratyakzasTale'pi,pratyakzasTale+api
tviti,tu+iti
tasyeti,tasya+iti
grAhyABAvavyApyajYAne'pi,grAhyABAvavyApyajYAne+api
SaNKa iti,SaNKaH+iti
jYAnodayAditi,jYAnodayAt+iti
hIti,hi+iti
sandigDAsidDyAderapi,sandigDAsidDyAdeH+api
satpratipakzitatvasyAsADAraRatvasya,satpratipakzitatvasya+asADAraRatvasya
pratyakzAsamBavAditiKa,pratyakzAsamBavAt+itiKa
AhabADeneti,AhabADena+iti
bADasatpratipakzayorapratibanDakatve,bADasatpratipakzayoH+apratibanDakatve
sTARutvapratyakzaM ca,sTARutvapratyakzam+ca
Ahapratyakza iti,AhapratyakzaH+iti
ceti,ca+iti
ayogyatAjYAneti,ayogyatAjYAna+iti
sidDAnteti,sidDAnta+iti
asmatsidDAnte,asmat+sidDAnte
hetvABAsatvamiti,hetvABAsatvam+iti
tAtparyaM boDyam,tAtparyam+boDyam
jayadevasamADiM SaNkatena,jayadevasamADim+SaNkatena
ceti,ca+iti
anyeti,anya+iti
jYAtaM na,jYAtam+na
AhaupajIvyeti,AhaupajIvya+iti
eveti,eva+iti
vakzyatIti,vakzyati+iti
yajjYAna,yat+jYAna
nApi,na+api
tadBinnatvAjYAne'pi,tadBinnatvAjYAne+api
savyaBicArAdiliNgAnAmAnantyAt,savyaBicArAdiliNgAnAm+AnantyAt
ceti,ca+iti
bADasyEvaKa,bADasya+evaKa
jYAnamarTeKa,jYAnam+arTeKa
cAsmassidDAnteKa,ca+asmassidDAnteKa
AhaprasaYjakatvamiti,AhaprasaYjakatvam+iti
sapakzavipakzarUpapakzadvayamatra,sapakzavipakzarUpapakzadvayam+atra
vivakzitamiti,vivakzitam+iti
AhasADyeti,AhasADya+iti
taTeti,taTA+iti
ityarTaH,iti+arTaH
DUmAderapi,DUmAdeH+api
Sabdo'nityaH,SabdaH+anityaH
ityatra,iti+atra
sapakzavipakzayoriti,sapakzavipakzayoH+iti
AhasADyeti,AhasADya+iti
jYAnasyApi,jYAnasya+api
Ahapakzeti,Ahapakza+iti
pakzaDarmetika,pakzaDarma+itika
tviti,tu+iti
nirvizayakatvAnumitIti,nirvizayakatvAnumiti+iti
tatrApi,tatra+api
samAnaDarmavadDarmijYAnatvenEva,samAnaDarmavadDarmijYAnatvena+eva
corDvatvAdijYAnasADAraRena,ca+urDvatvAdijYAnasADAraRena
kowidvayopasTApakatvaM na,kowidvayopasTApakatvam+na
tUktarUpeRa,tu+uktarUpeRa
prAmARyaviSezaRakasADyatadaBAvopasTiteratra,prAmARyaviSezaRakasADyatadaBAvopasTiteH+atra
jYAnatve'tivyAptivAraRAya,jYAnatve+ativyAptivAraRAya
kiM nirvizayatve,kim+nirvizayatve
veti,vA+iti
nirAkarotinirvizayatvAdAviti,nirAkarotinirvizayatvAdO+iti
ceti,ca+iti
vakzyamARalakzaRaparatvAditi,vakzyamARalakzaRaparatvAt+iti
pakzaDarmatApadopAdAne'pi,pakzaDarmatApadopAdAne+api
tatrAtivyAptinirAsaH,tatra+ativyAptinirAsaH
cintyamyAvadvizayatvena,cintyamyAvat+vizayatvena
kowidvayopasTApakatvaM tAvati,kowidvayopasTApakatvam+tAvati
vivakzitaM na,vivakzitam+na
tajjYAnasya,tat+jYAnasya
sADAraRaDarmavadDarmijYAnatvenEva,sADAraRaDarmavadDarmijYAnatvena+eva
pakzaDarmatAvizayakatvenApi,pakzaDarmatAvizayakatvena+api
tasyAyaTArTatvAt,tasya+ayaTArTatvAt
nAntyaH,na+antyaH
vyaBicAritvaBramavizayavirudDe'tivyApteH,vyaBicAritvaBramavizayavirudDe+ativyApteH
DarmyaMSeyaTArTatvAditi,DarmyaMSeyaTArTatvAt+iti
vetiga,vA+itiga
yaTArTyAditiKa,yaTArTyAt+itiKa
vayaM tu,vayam+tu
yaTASrutameva,yaTASrutam+eva
virudDe'tivyAptiH,virudDe+ativyAptiH
tasyApi,tasya+api
pakzaDarmatApadavEyarTyamiti,pakzaDarmatApadavEyarTyam+iti
kiM tu,kim+tu
pakzaDarmatAvizayakatvenEva,pakzaDarmatAvizayakatvena+eva
samAnaDarmavadDarmijYAnatvenEva,samAnaDarmavadDarmijYAnatvena+eva
taTAtvAditi,taTAtvAt+iti
paryavasAnAditi,paryavasAnAt+iti
hetvaBimatapadaM ca,hetvaBimatapadam+ca
yaTASrutaparamevaka,yaTASrutaparam+evaka
kevaleti,kevala+iti
sADyABAvAprasidDeriti,sADyABAvAprasidDeH+iti
prameyatvaM sADyatadaBAvasahacAritatayA,prameyatvam+sADyatadaBAvasahacAritatayA
Ahaayamiti,Ahaayam+iti
sADyasahacAriRastasya,sADyasahacAriRaH+tasya
AhasADyeti,AhasADya+iti
Ahayasyeti,Ahayasya+iti
kaTaM tarhi,kaTam+tarhi
AhatajjYAnenetipu,AhatajjYAnena+itipu
pakzIyasyApi,pakzIyasya+api
pratibanDakatvAditi,pratibanDakatvAt+iti
bADasyApi,bADasya+api
AhakaraReti,AhakaraRa+iti
ityarTaH,iti+arTaH
ata iti,ataH+iti
ityapi,iti+api
cAsADAraRe,ca+asADAraRe
AhasADyeti,AhasADya+iti
savyaBicariteti,savyaBicarita+iti
evaM hi,evam+hi
sADAraRe'vyAptiH,sADAraRe+avyAptiH
vyarTaviSezaRAnyasyeti,vyarTaviSezaRAnyasya+iti
vastutvAderyat,vastutvAdeH+yat
vyApyatvAsidDatvaM tadvattvasya,vyApyatvAsidDatvam+tadvattvasya
vayaM tu,vayam+tu
anumitiviroDitvaM na,anumitiviroDitvam+na
kiM tu,kim+tu
kiM tu,kim+tu
vyatirekavyAptigrahadaSAyAM pakze,vyatirekavyAptigrahadaSAyAm+pakze
AhaviSezeti,AhaviSeza+iti
viSezAdarSanasyApi,viSezAdarSanasya+api
niScitasyorDvatvasya,niScitasya+urDvatvasya
puruzatvavyApyatvagrahadaSAyAM na,puruzatvavyApyatvagrahadaSAyAm+na
saMSAyakatvamiti,saMSAyakatvam+iti
tatrApi,tatra+api
sADAraRasyApi,sADAraRasya+api
anityadozatApattiriti,anityadozatApattiH+iti
janakatAvacCedakatvaM prakftagranTArTaH,janakatAvacCedakatvam+prakftagranTArTaH
tadupasTApakamiti,tadupasTApakam+iti
tAvatEva,tAvatA+eva
tadatimandam,tat+atimandam
paraviSezitasyAnumitipratibanDakatvaniyamABAvAt,paraviSezitasya+anumitipratibanDakatvaniyamABAvAt
tadvizayasyApi,tadvizayasya+api
niyamato'numitipratibanDakatvAt,niyamataH+anumitipratibanDakatvAt
tadvizayasADyopADyorapi,tadvizayasADyopADyoH+api
hetvABAsatvApatteriti,hetvABAsatvApatteH+iti
niScitasyArTasyaka,niScitasya+arTasyaka
tasyeti,tasya+iti
sadDeturna,sadDetuH+na
matAnusArAditi,matAnusArAt+iti
AhavyAptIti,AhavyApti+iti
kvacilliNgatvAt,kvacit+liNgatvAt
sArvatrikameva,sArvatrikam+eva
prakftasADyaliNgavfttitvaM vivakzitam,prakftasADyaliNgavfttitvam+vivakzitam
vahnyAdiliNgakatvamiti,vahnyAdiliNgakatvam+iti
asADAraRAderapi,asADAraRAdeH+api
anaBimAnadaSAyAM sADAraRAvyApteH,anaBimAnadaSAyAm+sADAraRAvyApteH
vahnyanumitAvapi,vahnyanumitO+api
sADAraRAdyasaMgraho durvAraH,sADAraRAdyasaMgrahaH+durvAraH
samAnaDarmavadDarmajYAnatvena,samAnaDarmavat+DarmajYAnatvena
hetvABAsatopADitvamiti,hetvABAsatopADitvam+iti
sADAraRAderapika,sADAraRAdeH+apika
saMSayAttaTA,saMSayAt+taTA
SaNkateaTeti,SaNkateaTa+iti
sADyavyAptatvavirudDatvayorviSezaRam,sADyavyAptatvavirudDatvayoH+viSezaRam
viSezyABAvAdasADAraRe,viSezyABAvAt+asADAraRe
tasminnuBayABAvAt,tasmin+uBayABAvAt
viSizwABAva iti,viSizwABAvaH+iti
vArayituM praTamaviSezaRasya,vArayitum+praTamaviSezaRasya
sADyavyApyatvaparatvaM dvitIyasya,sADyavyApyatvaparatvam+dvitIyasya
ityuktam,iti+uktam
tatrApi,tatra+api
viSezadarSanadaSAyAM asADAraRyABAvakAlAvacCinnasADyavyApyasya,viSezadarSanadaSAyAm+asADAraRyABAvakAlAvacCinnasADyavyApyasya
vyApyavfttitvAditi,vyApyavfttitvAt+iti
tattvAtyantABAve'pi,tattvAtyantABAve+api
Ahavyatireketi,Ahavyatireka+iti
mAtrapadavyavacCedyasADyavadanyasya,mAtrapadavyavacCedyasADyavat+anyasya
Ahakevaleti,Ahakevala+iti
sadDeturna,sadDetuH+na
hetvABAsa iti,hetvABAsaH+iti
matANgIkArAditi,matANgIkArAt+iti
sadDetutvasADAraRasyApi,sadDetutvasADAraRasya+api
tatrAtivyAptiH,tatra+ativyAptiH
AhatatsaMgrAhyateti,AhatatsaMgrAhyatA+iti
pratiyogivyaDikaraRABAvaparaM boDyam,pratiyogivyaDikaraRABAvaparam+boDyam
vyApakABAve'pi,vyApakABAve+api
pratiyogivEyaDikaraRyaM deyam,pratiyogivEyaDikaraRyam+deyam
kecittviti,kecittu+iti
yaTASrutameva,yaTASrutam+eva
lakzaRamiti,lakzaRam+iti
tatrAtivyAptiprasaNgena,tatra+ativyAptiprasaNgena
Ahavfttimattveneti,Ahavfttimattvena+iti
sADAraRatvameva,sADAraRatvam+eva
AhasADAraReti,AhasADAraRa+iti
vipakzagAmitvajYAnenAnumitipratibanDaH,vipakzagAmitvajYAnena+anumitipratibanDaH
AhakadAciditi,AhakadAcit+iti
viBAjakopADirnAma,viBAjakopADiH+nAma
tviti,tu+iti
saMpradAyeti,saMpradAya+iti
tanmate,tan+mate
sADAraRatvABAvAditi,sADAraRatvABAvAt+iti
praTamalakzaRamapi,praTamalakzaRam+api
upaDeyeti,upaDeya+iti
ekatve'pi,ekatve+api
anyaTeti,anyaTA+iti
ityarTaH,iti+arTaH
asADAraRatvajYAne'pi,asADAraRatvajYAne+api
sADyavanmAtravfttitvajYAnasamBavena,sADyavat+mAtravfttitvajYAnasamBavena
tanniScayaviroDitvABAvAt,tat+niScayaviroDitvABAvAt
hetvABAsatvopADitvaM na,hetvABAsatvopADitvam+na
sADyatadaBAvanirUpitavyatirekavyAptidvayasahitapakzaDarmatAjYAnasyEva,sADyatadaBAvanirUpitavyatirekavyAptidvayasahitapakzaDarmatAjYAnasya+eva
tadvizayasyEva,tadvizayasya+eva
syAditi,syAt+iti
sADyavanmAtravfttitvajYAnasamBavena,sADyavat+mAtravfttitvajYAnasamBavena
nityatvAnityatvoBayABAvavyApaka itijYAnasya,nityatvAnityatvoBayABAvavyApakaH+itijYAnasya
jYAnasyEva,jYAnasya+eva
sADAraRe'vyAptirataHapramIyamARatve,sADAraRe+avyAptirataHapramIyamARatve
satIti,sati+iti
nAtivyAptiH,na+ativyAptiH
vyApyatvAnavagamadaSAyAM hradAdO,vyApyatvAnavagamadaSAyAm+hradAdO
rikteti,rikta+iti
