aM gaRAya,am+gaRAya
vacCinnAnutpAdaprayojakatvamekasminparAmarSatvAvacCinnABAve,vacCinnAnutpAdaprayojakatvam+ekasminparAmarSatvAvacCinnABAve
vacCinnAnudayaprayojakatvaM vahnivyApyAdivizayaka,vacCinna+anudayaprayojakatvam+vahnivyApyAdivizayaka
vacCinnABAvasya,vacCinna+aBAvasya
vacCinnABAvADikaraRatvaM prati,vacCinnABAvADikaraRatvam+prati
vacCinnAvagAhitvasya,vacCinna+avagAhitvasya
vacCinnEveti,vacCinna+eveti
vacCinnopasTiterhetutAyAmapi,vacCinnopasTiteH+hetutAyAm+api
vacCedaka iti,vacCedakaH+iti
vacCedakaM niveSya,vacCedakam+niveSya
vacCedakakowAvapyavyavahitottaratvaM niveSanIyamityuBayatrAvyahitottaratvAniveSaprayuktagOravaM niveSanIyamityuBayatrAvyahitottaratvAniveSaprayuktagOravaM duzpariharamevetyaDikaM duzpariharamevetyaDikaM sUkzmArTadarSiBiH,vacCedakakowO+api+avyavahitottaratvam+niveSanIyam+iti+uBayatravyahitottaratvAniveSaprayuktagOravam+niveSanIyam+iti+uBayatravyahitottaratvAniveSaprayuktagOravam+duzpariharam+eva+iti+aDikam+duzpariharam+eva+iti+aDikam+sUkzma+arTadarSiBiH
vacCedakakowipravizwatveneti,vacCedakakowipravizwatvena+iti
vacCedakaGawopasTititvAderGawapada,vacCedakaGawopasTititvAdeH+Gawa
vacCedakatAyAM GawatvanizWaprakAratAva,vacCedakatAyAm+GawatvanizWaprakAratA
vacCedakatvasaM,vacCedakatvasam
vacCedakatvasyopadarSi,vacCedakatvasya+upadarSi
vacCedakatvApattirna,vacCedakatvApattiH+na
vacCedakatvepIti,vacCedakatvepi+iti
vacCedakaprakArakanirRayoreka,vacCedakaprakArakanirRayoH+eka
vacCedakaPalaSAlitvarUpaM boDyam,vacCedakaPalaSAlitvarUpam+boDyam
vacCedakaBedenoddeSyatA,vacCedakaBedena+uddeSyatA
vacCedakamiti,vacCedakam+iti
vacCedakamityAmananti,vacCedakam+iti+Amananti
vacCedakavatvaM saMsargaH,vacCedakavatvam+saMsargaH
vacCedakaviSizwavESizwyAvagAhiboDasTale,vacCedakaviSizwavESizwya+avagAhiboDasTale
vacCedakasyA'prasidDAvapi,vacCedakasya+aprasidDO+api
vacCedakAkrAntatvAt,vacCedaka+AkrAntatvAt
vacCedakAnAmAnantyAdananta,vacCedakAnAmAnantyAt+ananta
vacCedakAvacCinnAnAmiva,vacCedaka+avaCinnAnAm+iva
vacCedavanhyastitvAderDUmo'stItyAdivAkyatAtparyavizayatA'vacCedakatvAd,vacCedavatak+hi+astitvAdeH+DUmaH+asti+ityAdivAkyatAtparyavizayatA'vacCedakatvAd
vacmIti,vacmi+iti
vacyAdiDAtorarTastadASrayatvAtma,vacyAdiDAtoH+arTaH+tadASrayatvAtma
vajraM SaktiM SaktiM taTA,vajram+Saktim+Saktim+taTA
vajraM SaNKaM SaNKaM vAme,vajram+SaNKam+SaNKam+vAme
vajrapatanEScUrRIkftAH,vajrapatanEH+cUrRIkftAH
vajrapAto'calendrARAM SyenaH,vajrapAtaH+acalendrARAm+SyenaH
vajrabAhurnAma,vajrabAhuH+nAma
vajraBasmakAryaM karizyati,vajraBasmakAryam+karizyati
vajramaDyo gajavfzaBagatirlambapInAMsabAhuH,vajramaDyaH+gajavfzaBagatiH+lambapInAMsabAhuH
vajrasadfSAnyABAnti,vajrasadfSAni+ABAnti
vajrasUcImuKaM nezwaM nezwaM sakfd sakfd dvitrisamAgamam,vajrasUcImuKam+na+izwam+na+izwam+sakft+sakft+dvitrisamAgamam
vajrAdapyatiguravo Bavanti,vajrAt+api+atiguravaH+Bavanti
vajrAhata ivApatat,vajrAhataH+iva+apatat
vajrAhatastawa ivAYjanaparvatasya,vajrAhataH+tawaH+iva+aYjanaparvatasya
vaYcakAnAmeva,vaYcakAnAm+eva
vaYcanAnihataM SrutvA,vaYcanAnihatam+SrutvA
vaYcanApaRqito janaH,vaYcanApaRqitaH+janaH
vaYcanApAwavamatra,vaYcanApAwavam+atra
vaYcanAmabuDyata,vaYcanAm+abuDyat
vaYcayitumicCasi,vaYcayitum+icCasi
vaYcayitumEcCat,vaYcayitum+EcCat
vaYcayizyAmyahaM Druvam,vaYcayizyAmi+aham+Druvam
vaYcayed yaH,vaYcayet+yaH
vaYcita iti,vaYcitaH+iti
vaYcitastvayA,vaYcitaH+tvayA
vaYcitA Bavizyanti,vaYcitAH+Bavizyanti
vaYcitA yUyam,vaYcitAH+yUyam
vaYcitASca,vaYcitAH+ca
vaYcitosmi,vaYcitaH+asmi
vaYcito'si,vaYcitaH+asi
vaYcito vA,vaYcita
vaYcyate'so,vaYcyate+aso
vawataroraDasturaNgamamaDirUQA,vawataroH+aDaH+turaNgamam+aDirUQA
vawavaSca,vawavaH+ca
vawavfkzamanulakzya,vawavfkzam+anulakzya
vawASvatTArkkavAtAvisarjjaBallAtakAMstyajet,vawASvatTArkkavAtAvisarjjaBallAtakAn+tyajet
vawuH praSAntanAmA,vawuH+praSAntanAmA
vawukaM dvyaNgulaM dvyaNgulaM vfttaM vfttaM karttavyantu,vawukam+dvyaNgulam+dvyaNgulam+vfttam+vfttam+karttavyam+tu
vaweSaM vAmanantIrTaM vAmanantIrTaM kAlikAsaNgamuttamam,vaweSam+vAmanam+tIrTam+vAmanam+tIrTam+kAlikAsaNgam+uttamam
vawodumbarakASvatTAMScampakASokaSrIdrumAn,vawodumbarakASvatTAn+campakASokaSrIdrumAn
vaqavA prabalAyitA prabalAyitA,vaqavAH+prabalAyitAH+prabalAyitAH
vaqavA lolAyitAH,vaqavAH+lolAyitAH
vaqavAstatra,vaqavAH+tatra
vaqavAsyaSca,vaqavAsyaH+ca
vaRikkendram,vaRik+kendram
vaRikputra iti,vaRikputraH+iti
vaRiksamAje'sO,vaRiksamAje+asO
vaRigakaTayat,vaRik+akaTayat
vaRigapi,vaRik+api
vaRigapfcCat,vaRik+apfcCat
vaRigasmin,vaRik+asmin
vaRigaham,vaRik+aham
vaRigApaRAdbahiraBavat,vaRigApaRAt+bahiH+aBavat
vaRig nidrAM nidrAM na,vaRik+nidrAm+nidrAm+na
vaRigjanAnAM prAkftaM prAkftaM kalpanapAwavam,vaRigjanAnAm+prAkftam+prAkftam+kalpanapAwavam
vaRigvarAkaH,vaRik+varAkaH
vaRijamimaM,vaRijam+imam
vaRijameva,vaRijam+eva
vaRijAmApaRezu,vaRijAm+ApaRezu
vaRijEva,vaRijA+iva
vatsaTaityASAse,vatsaTaiti+ASAse
vatsamamuM,vatsam+amuM
vatsayuktA Bramanti,vatsayuktAH+Bramanti
vatsarA vyatItAH,vatsarAH+vyatItAH
vatsarAtpUrvaM dfzwa dfzwa iti,vatsarAtpUrvam+dfzwaH+dfzwaH+iti
vatsenendrajitA,vatsena+indrajitA
vatsaradvayaM vyatItamAsIt,vatsaradvayam+vyatItam+AsIt
vatsAmeva,vatsAm+eva
vatsetyuccArayantI,vatsa+iti+uccArayantI
vatseyaM mfduvacasA,vatsa+iyam+mfduvacasA
vadatAM mate,vadatAm+mate
vadatItyAdO,vadati+ityAdO
vadato me,vadataH+me
vadato'yamaBiprAyaH,vadataH+ayam+aBiprAyaH
vadatyaupahasanna,vadati+upahasan+na
vadatyato'sti,vadati+ataH+asti
vadanaM cibukaM cibukaM grIvA,vadanam+cibukam+cibukam+grIvA
vadanaM prasAdasadanaM prasAdasadanaM vilokya,vadanam+prasAdasadanam+prasAdasadanam+vilokya
vadanaM manAk,vadanam+manAk
vadanamAntaravizAdajanitena,vadanam+AntaravizAdajanitena
vadanAttIvraScItkAro,vadanAt+tIvraH+cItkAra
vadanAttIvraScItkAro,vadanAt+tIvraH+cItkAraH
vadanoparyapatat,vadanopari+apatat
vadantaM prati,vadantam+prati
vadantievalAnvayiDarmavyApakatAdfsaMSayavizayamAtravfttitvamevAnupasaMhAritvam,vadantievalAnvayiDarmavyApakatAdfsaMSayavizayamAtravfttitvam+eva+anupasaMhAritvam
vadantItyantena,vadanti+ityantena
vadanto bOdDA bOdDA api,vadantaH+bOdDAH+bOdDAH+api
vadantyanye,vadanti+anye
vadantyAmasya,vadanti+Amasya
vadannasti,vadan+asti
vadanneva,vadan+eva
vadanvAdI,vadan+vAdI
vadAmyaham,vadAmi+aham
vadityato nAviSeza,
vadityanumAnAdupadarSita,vaditi+anumAnAt+upadarSita
vadipratyakzApattivAraRAya,vadipratyakza+ApattivAraRAya
vadipratyakzecCA,vadipratyakza+icCA
vadyanumitiM prati,vadyanumitim+prati
vaDamakurvan,vaDam+akurvan
vaDamavApsyati,vaDam+avApsyati
vaDaSilAyAmupavizwaH,vaDaSilAyAm+upavizwaH
vaDAdeSo na,vaDAdeSaH+na
vaDAnaGawitAnupUrvyA,vaDAnaGawita+AnupUrvyA
vaDUjanaM suKinaM suKinaM SfRomi,vaDUjanam+suKinam+suKinam+SfRomi
vaDoddeSyakatvaM ca,vaDoddeSyakatvam+ca
vaDyatvAcca,vaDyatvAt+ca
vaDrAntrajihvabAlASca,vaDrAntrajihvabAlAH+ca
vanaM gate,vanam+gate
vanaM gAhate,vanam+gAhate
vanaM cEtraraTaM cEtraraTaM pUrvve,vanam+cEtraraTam+cEtraraTam+pUrvve
vanaM baBaYja,vanam+baBaYja
vanaM yAsyAmi,vanam+yAsyAmi
vanagamanameva,vanagamanam+eva
vanadevatAmupagamya,vanadevatAm+upagamya
vanamagacCat,vanam+agacCat
vanamapramAdena,vanam+apramAdena
vanamAninAya,vanam+AninAya
vanamAlAM SriyaM SriyaM puzwiM puzwiM garuqaM garuqaM gurumarcayet,vanamAlAm+Sriyam+Sriyam+puzwim+puzwim+garuqam+garuqam+gurum+arcayet
vanamAlAYca,vanamAlAm+ca
vanamAlokena,vanam+Alokena
vanamAsasAda,vanam+AsasAda
vanamityAdO,vanam+ityAdO
vanamfgEryatpARqavAH,vanamfgEH+yatpARqavAH
vanayAgaM samAcaret,vanayAgam+samAcaret
vanarAjo'ham,vanarAjaH+aham
vanavAsaNgatO,vanavAsam+gatO
vanavAsamapi,vanavAsam+api
vanavAsameva,vanavAsam+eva
vanavAsasyAvaDiH,vanavAsasya+avaDiH
vanavAsinastu,vanavAsinaH+tu
vanavAsino mUrtikArasya,vanavAsinaH+mUrtikArasya
vanavAsino lakzyaBedakAH,vanavAsinaH+lakzyaBedakAH
vanaSoBAmiti,vanaSoBAm+iti
vanAd gfhaM,vanAt+gfhaM
vanAd vanaM,vanAt+vanaM
vanAdvane,vanAt+vane
vanAntarasyABitaH,vanAntarasya+aBitaH
vanitAvigraho yudDe,vanitAvigrahaH+yudDe
vanumitivizayecCAyAM uttejakatvaM uttejakatvaM svIkaraRIyamiti,vanumitivizaya+icCAyAm+uttejakatvam+uttejakatvam+svIkaraRIyam+iti
vanecaravacanAdgavayasya,vanecaravacanAt+gavayasya
vane'vasTitasya,vane+avasTitasya
vane'smin,vane+asmin
vandatyapi,vandati+iti+api
vandanavArAdiBiralaNkftA'sti,vandanavArAdiBiH+alaNkftA+asti
vanditA'si,vanditA+asi
vanniyatamevArTaM boDayenna,vat+niyatam+eva+arTam+boDayet+na
vannirUpitADikaraRatA,vat+nirUpita+aDikaraRatA
vandyopADyAyastAvAn,vandyopADyAyaH+tAvAn
vanDyatayAtikupitastAM sArDatrayodaSavarzeBya,
vanDyAdozo'pi,vanDyAdozaH+api
vapurasyapi,vapuH+asyapi
vapurAsTitaH,vapuH+AsTitaH
vapuruddiSya,vapuH+uddiSya
vapurnirmalIkartumakzama,
vapurharzeRa,vapuH+harzeRa
vapuvirBaktAvayavam,vapuH+viBaktAvayavam
vapuzastrIRyAvaraRAni,vapuzaH+trIRi+AvaraRAni
vapuzmAndyutimAMstaTA,vapuzmAn+dyutimAn+taTA
vamataScAsya,vamataH+ca+asya
vamanavirecanaviDimaDyAyaM,vamanavirecanaviDim+aDyAyaM
vamanoktena,vamanA+uktena
vamitavAniva,vamitavAn+iva
vamirdAhaScakzurhfdayaroDanam,vamiH+dAhaH+cakzuH+hfdayaroDanam
vametpunaH,vamet+punaH
vamervirekasya,vameH+virekasya
vayaM kurmastatsamIcInameva,vayam+kurmaH+tat+samIcInam+eva
vayaM gacCAma gacCAma ityAdi,vayam+gacCAmaH+gacCAmaH+ityAdi
vayaM gacCAma gacCAma ityAdisTalezu,vayam+gacCAmaH+gacCAmaH+ityAdisTalezu
vayaM cEvaMBUtAH,vayam+ca+evaMBUtAH
vayaM jAtA jAtA dAnavAnAM vaDArTAya,vayam+jAtAH+dAnavAnAm+vaDArTAya
vayaM tatra,vayam+tatra
vayaM tayorbanDanArTaM tayorbanDanArTaM tatra,vayam+tayoH+banDanArTam+tayoH+banDanArTam+tatra
vayaM tavAnenopahAreRAtiprasannA,
vayaM tvAlocayAmaH anumitipratibanDakatAvacCedakavattvagocarayaTArTajYAnavizayatvameva,vayam+tu+AlocayAmaH+anumitipratibanDakatAvacCedakavattvagocarayaTArTajYAnavizayatvam+eva
vayaM dehalyA,vayam+dehalyA
vayaM drazwumeva,vayam+drazwum+eva
vayaM dvivAraM dvivAraM grahItAraH,vayam+dvivAram+dvivAram+grahItAraH
vayaM dvivAraM dvivAraM pradAtAraH,vayam+dvivAram+dvivAram+pradAtAraH
vayaM nidrAM nidrAM na,vayam+nidrAm+nidrAm+na
vayaM paYcottaraM paYcottaraM Satam,vayam+paYcottaram+paYcottaram+Satam
vayaM pUrvato,vayam+pUrvata
vayaM pragAQe'sminnaraRye,vayam+pragAQe+asmin+araRye
vayaM prasTitA,
vayaM BaktAstaTA,vayam+BaktAH+taTA
vayaM yasya,vayam+yasya
vayaM rudima,
vayaM relayAtrAM relayAtrAM kartuM kartuM na,vayam+relayAtrAm+relayAtrAm+kartum+kartum+na
vayaM rodanaparA,vayam+rodanaparA
vayaM lAlAyitA,
vayaM vikroSAmaH,vayam+vikroSAmaH
vayaM sarve,vayam+sarve
vayanumityApattiH,vayanumiti+ApattiH
vayanumityutpattyA,vayanumiti+utpattyA
vayantvatyantamanAGrAtasaByatAganDA,
vayamatra,vayam+atra
vayamatrAgatAH,vayam+atra+AgatAH
vayamaDamA,
vayamanusftAH,vayam+anusftAH
vayamanDIkftA,
vayamapyavatsyAmaScetSoBanaM samapatsyata,vayam+api+avatsyAmaH+cet+SoBanam+samapatsyata
vayamapyAgamizyAma,vayamapi+AgamizyAmaH
vayamapyupaviSAmaH,vayam+api+upaviSAmaH
vayamapyetadaBilazAmaH,vayam+api+etat+aBilazAmaH
vayamapyetezAmetAn,vayam+api+etezAm+etAn
vayamamuzya,vayam+amuzya
vayamardDapaTamAgatAstAvat,vayam+ardDapaTam+AgatAH+tAvat
vayamaSnumaH,vayam+aSnumaH
vayamasmAkaM,vayam+asmAkaM
vayamasminvizaya,vayam+asmin+vizaya
vayamahasAma,vayam+ahasAma
vayamAgatA,
vayamANgalasEnikA yaTecCayA,vayam+ANgalasEnikAH+yaTecCayA
vayamAryasyABiprAyamanuvartitAraH,vayam+Aryasya+aBiprAyam+anuvartitAraH
vayamAlocayAmaH,vayam+AlocayAmaH
vayamAhUtAH,vayam+AhUtAH
vayamicCAmaH,vayam+icCAmaH
vayamityarTaH,vayam+ityarTaH
vayamityAdivadatratyaH,vayam+ityAdivat+atratyaH
vayamurvarAm,vayam+urvarAm
vayamekasmin,vayam+ekasmin
vayametat,vayam+etat
vayametAM daSAM daSAM gatAH,vayam+etAm+daSAm+daSAm+gatAH
vayametAdfSaM sarvaviDasvAmiguRopetaM sarvaviDasvAmiguRopetaM rAjAnaM rAjAnaM lapsyAmahe,vayam+etAdfSam+sarvaviDasvAmiguRopetam+sarvaviDasvAmiguRopetam+rAjAnam+rAjAnam+lapsyAmahe
vayametAn,vayam+etAn
vayamenaM,vayam+enaM
vayamenamanugamizyAmaH,vayam+enam+anugamizyAmaH
vayamenAn,vayam+enAn
vayamevAdya,vayameva+adya
vayavasaMsTAnarUpAkftervAcyatvAt,SabdabudDO+OtsargikaBAnena+upasTitO
vayasastulanAyAmaDika,vayasaH+tulanAyAm+aDika
vayasA'pi,vayasA+api
vayaso darpAt,vayasaH+darpAt
vayasyo nandagopa nandagopa evAgacCatu,vayasyaH+nandagopaH+nandagopaH+eva+AgacCatu
vayasyo nandagopaH,vayasyaH+nandagopaH
vayasyo'BUt,vayasyaH+aBUt
vayaskAyAstava,vayaskAyAH+tava
vayovfdDerapyupAyo'sti,vayovfdDeH+api+upAyaH+asti
vayovfdDo vidyate,vayovfdDaH+vidyate
vayo'pyavardDat,vayaH+api+avardDat
varaM badDo badDo na,varam+badDaH+badDaH+na
varaM brUhi,varam+brUhi
varacayanakftamataH,varacayanakftam+ataH
varaRIya iti,varaRIyaH+iti
varadattErnAgabARErozaDyA,varadattEH+nAgabAREH+ozaDyA
varadA dvyabjinaH,varadAH+dvyabjinaH
varadABayahastASca,varadABayahastAH+ca
varado vAme,varadaH+vAme
varado'bravIt,varadaH+abravIt
varadvayaM pUrvadattaM pUrvadattaM satyAt,varadvayam+pUrvadattam+pUrvadattam+satyAt
varadvayantadA,varadvayam+tadA
varadvayamidAnIM,varadvayam+idAnIM
varantIrTamavimuktamanuttamam,varam+tIrTam+avimuktam+anuttamam
varandadO,varam+dadO
varamaDikaguRe,varam+aDikaguRe
varamityuktvA,varam+ityuktvA
varamuBayasidDAnAM,varam+uBayasidDAnAM
varavAraRAnA samAnItaM sarvarAjamaRqalam,varavAraRAnAm+samAnItam+sarvarAjamaRqalam
varasahacaro vA,varasahacaraH+vA
varastAsAM,varaH+tAsAm
varasyopari,varasya+upari
varA agre,varAH+agre
varA anugfhItAH,varAH+anugfhItAH
varAkaM vaYcayAmi,varAkam+vaYcayAmi
varAkaM vaRijameva,varAkam+vaRijam+eva
varAkasyAsya,varAkasya+asya
varAkasyopari,varAkasya+upari
varAko'ham,varAkaH+aham
varAwikAmAtramapi,varAwikAmAtram+api
varAstramamitaM pEtAmahaM pEtAmahaM pArTivaH,varAstram+amitam+pEtAmaham+pEtAmaham+pArTivaH
varAhaM pUjayitvA,varAham+pUjayitvA
varAhanfsiMhAdyavatAro nAma,varAhanfsiMhAdyavatAraH+nAma
varAhasiMhaSaktInAM sTUlarUpaM sTUlarUpaM praDAnataH,varAhasiMhaSaktInAm+sTUlarUpam+sTUlarUpam+praDAnataH
varAhasTApanAdrAjyaM BavAbDitaraRaM BavAbDitaraRaM Bavet,varAhasTApanAt+rAjyam+BavAbDitaraRam+BavAbDitaraRam+Bavet
varAhASezaduzwAni,varAha+aSezaduzwAni
varizWasevASfMKalAyAmAyAta,varizWasevASfMKalAyAm+AyAta
varIyAMsaSca,varIyAMsaH+ca
varuRaM kArayennaraH,varuRam+kArayet+naraH
varuRaM dEtyaSezO,varuRam+dEtyaSezO
varuRaM makare,varuRam+makare
varuRaM yajedarGyAdiBirguruH,varuRam+yajet+arGyAdiBiH+guruH
varuRaM yuktaM yuktaM gOryA,varuRam+yuktam+yuktam+gOryA
varuRaM sfzwiM sfzwiM brahmARqasaYjYikAm,varuRam+sfzwim+sfzwim+brahmARqasaYjYikAm
varuRaM snAnapiWe,varuRam+snAnapiWe
varuRaH,varuRaH
varuRaYca,varuRam+ca
varuRaYceti,varuRam+ca+iti
varuRadvIpAd AnItaM,varuRadvIpAt+AnItaM
varuRadvIpAd AnItam,varuRadvIpAt+AnItam
varuRabrahmaRormmaDye,varuRabrahmaRoH+maDye
varuRamagnimAhuH,varuRam+agnim+AhuH
varuRamiti,varuRam+iti
varuRastataH,varuRaH+tataH
varuRasyeti,varuRasya+iti
varuRAdeSca,varuRAdeH+ca
varuRo nfpaH,varuRaH+nfpaH
varuRo BagaH,varuRaH+BagaH
varo nirRItaH,varaH+nirRItaH
varo nirvAcyate,varaH+nirvAcyate
varo meDAgnibalaSukrakft,varaH+meDAgnibalaSukrakft
varo'nvizyeta,varaH+anvizyeta
varo'nvezaRIyaH,varaH+anvezaRIyaH
vargA dozadUzyAdyapekzya,vargAH+dozadUzyAdyapekzya
vargAScAto yaTottaram,vargAH+ca+ataH+yaTA+uttaram
vargAstezu,vargAH+tezu
vargitErannaleSo'yamukto nityopayogikaH,vargitEH+annaleSaH+ayam+uktaH+nityopayogikaH
vargErmadyasya,vargEH+madyasya
vargovIratAdyo'yaM,vargovIratAdyaH+ayaM
varcomUtragrahAdyASca,varcomUtragrahAdyAH+ca
varjanaM paravAkyezUdBAvanaM paravAkyezUdBAvanaM vA,varjanam+paravAkyezUdBAvanam+paravAkyezUdBAvanam+vA
varjayitvA'paro na,varjayitvA+aparaH+na
varjayedvizasaMjYakam,varjayet+vizasaMjYakam
varjyo'ByaNgaH,varjyaH+aByaNgaH
varjyo'yaM,varjyaH+ayaM
varRakfcca,varRakft+ca
varRakramanirdeSa evAsti,varRakramanirdeSaH+eva+asti
varRakramanirdeSavannirarTakam,varRakramanirdeSavat+nirarTakam
varRakramanirdeSo varRAnAM varRAnAM pAWakramaHaAiI,varRakramanirdeSaH+varRAnAm+varRAnAm+pAWakramaHaAiI
varRajYAnatvAdyavacCinnABAvAsattvena,varRajYAnatvAdi+avacCinna+aBAva+asattvena
varRajYAnatvAvacCinnABAvaniyatvepi,varRajYAnatvAvacCinna+aBAvaniyatvepi
varRajYAnatvAvacCinnABAvasya,varRajYAnatvAvacCinna+aBAvasya
varRajYAnadaSAyAM varRajYAnatvAdyavacCinnABAvAsattvena,varRajYAnadaSAyAm+varRajYAnatvAdi+avacCinna+aBAva+asattvena
varRatvaM ca,varRatvam+ca
varRatvAvacCinnasaMKyAvAcakagrahasaMBavAdityarTaH,varRatvAvacCinnasaMKyAvAcakagrahasaMBavAt+ityarTaH
varRatveneti,varRatvena+iti
varRanaM samAkarRya,varRanam+samAkarRya
varRanamakarot,varRanam+akarot
varRanAmanityatvavAde,varRanAm+anityatvavAde
varRanIyamasti,varRanIyam+asti
varRayantaste,varRayantaH+te
varRayituM na,varRayitum+na
varRavyavasTAnusAramayamantyaja,
varRA evAnuBUyante,varRAH+eva+anuBUyante
varRAtirikto varRABivyaNgyo'rTapratyAyako varRABivyaNgyo'rTapratyAyako nityaH,varRAtiriktaH+varRABivyaNgyaH+arTapratyAyakaH+varRABivyaNgyaH+arTapratyAyakaH+nityaH
varRAdyApAdanaM tatra,varRAdyApAdanam+tatra
varRAnAM nirarTakatvameva,varRAnAm+nirarTakatvam+eva
varRAvagAhinIti,varRAvagAhinI+iti
varRASca,varRAH+ca
varRASramavyavasTA'pi,varRASramavyavasTA+api
varRASramASca,varRASramAH+ca
varRAstaTAnuBUyanta utpannapraDvastatvAt,varRAH+taTAnuBUyante+utpannapraDvastatvAt
varRAstaTApi,varRAH+taTApi
varRitamaSvavizayakaM,varRitam+aSvavizayakaM
varRitamasti,varRitam+asti
varRitAnIti,varRitAni+iti
varRinAM varRataH,varRinAm+varRataH
varRinImanyayoniM,varRinIm+anyayoniM
varRezveko varRa varRa iti,varRezu+ekaH+varRaH+varRaH+iti
varRezveva,varRezu+eva
varREriti,varREH+iti
varRyo'nilodriktasannipAtaharaH,varRyaH+anilodriktasannipAtaharaH
vartako vartikA vartikA cEva,vartakaH+vartikAH+vartikAH+ca+eva
vartata iti,vartate+iti
vartata ityukte,vartate+ityukte
vartata utEkadeSeneti,vartate+uta+ekadeSena+iti
vartata eva,vartate+eva
vartateti,vartate+iti
vartate'tra,vartate+atra
vartate'dya,vartate+adya
vartate'dyeti,vartate+adya+iti
vartamAnaM tu,vartamAnam+tu
vartamAnakAlavfttitvasyEva,vartamAnakAlavfttitvasya+eva
vartamAnakAlApekzayA'tItatvasya,vartamAnakAlApekzayA+atItatvasya
vartamAnakAlottarakAlInatvaboDasyAnarTakatayA,vartamAnakAlottarakAlInatvaboDasya+anarTakatayA
vartamAnakftijanyanirUpaRanizWAnantaryAvaDitvenopamAnanirUpaRe,vartamAnakftijanyanirUpaRanizWAnantaryAvaDitvena+upamAnanirUpaRe
vartamAnakftinizWAnantaryAvaDitvasyopamAnanirUpaRalABAt,vartamAnakftinizWAnantaryAvaDitvasya+upamAnanirUpaRalABAt
vartamAnatvarUpArTaboDajanakatAvacCedakAnupUrvImatvAduBayABAvaH,vartamAnatvarUpArTaboDajanakatAvacCedakAnupUrvImatvAt+uBayABAvaH
vartamAnatvavivakzAyAM stokA'BinnAvartamAnasTitirityAkArakaboDajanakatAvacCedakIBUtA,vartamAnatvavivakzAyAm+stokA+aBinnAvartamAnasTitiH+ityAkArakaboDajanakatAvacCedakIBUtA
vartamAnatvAdavAntaratvam,vartamAnatvAt+avAntaratvam
vartamAnatvAditi,vartamAnatvAt+iti
vartamAnatvAdyarTakatayA,vartamAnatvAdi+arTakatayA
vartamAnatvAdyavivakzAsTalepItyarTaH,vartamAnatvAdyavivakzAsTalepi+ityarTaH
vartamAnatvAvacCinnasamavAyasambanDAvacCinnASrayatvaM AkASavizayakapratiyogikatvalOkikAnyavizayitASUnyacAkzuzapratyakzapratiyogikatva,vartamAnatvAvacCinnasamavAyasambanDAvacCinnASrayatvam+AkASavizayakapratiyogikatvalOkikAnyavizayitASUnyacAkzuzapratyakzapratiyogikatva
vartamAnaDvaMsapratiyogitvamanumAtuM Sakyate,vartamAnaDvaMsapratiyogitvam+anumAtum+Sakyate
vartamAnamanvayavyatireki,vartamAnam+anvayavyatireki
vartamAnamityaDyAhftya,vartamAnam+iti+aDyAhftya
vartamAnamivocitasTale'vartamAnamapi,vartamAnam+iva+ucitasTale+avartamAnam+api
vartamAnayorhiMsAtvanizidDatvayorbrahmahananAdAvekenADarmatvena,vartamAnayoH+hiMsAtvanizidDatvayoH+brahmahananAdO+ekena+aDarmatvena
vartamAnalOkikavizayitASUnyatvacAkzuzatvAvacCedenetyarTaH,vartamAnalOkikavizayitASUnyatvacAkzuzatvAvacCedena+ityarTaH
vartamAnasyAnAgatasyApi,vartamAnasya+na+Agatasya+api
vartamAnasyApi,vartamAnasya+api
vartamAnasyAyEva,vartamAnasya+asya+eva
vartamAnAduHKanivfttiruciraM,vartamAnAduHKanivfttiruciram
vartamAnArTakalawpratyayaM vinA'pi,vartamAnArTakalawpratyayam+vinA'pi
vartamAnArTakalawpratyayAnyatAyA anupayogAd,vartamAnArTakalawpratyayAnyatAyAH+anupayogAd
vartamAno vinASyatAm,vartamAnaH+vinASyatAm
vartamAno hetuH,vartamAnaH+hetuH
vartamAno heturatra,vartamAnaH+hetuH+atra
vartamAno heturanaDyavasitaH,vartamAnaH+hetuH+anaDyavasitaH
vartamAno,vartamAnaH
vartamAnohamiti,vartamAnaH+aham+iti
vartayo BojanAni,vartayaH+BojanAni
vartitAyAmapIzwO,vartitAyAmapi+izwO
vartitumaBilazAmaH,vartitum+aBilazAmaH
vartiraNguzWakasTUlA,vartiH+aNguzWakasTUlA
varteta iti,vartete+iti
varttakaM cEtrasya,varttakam+cEtrasya
varttanImanusftya,varttanIm+anusftya
varttane'nvayaH,varttane+anvayaH
varttamAnAste,vartamAnAH+te
varttayedvAstumaRqapam,varttayet+vAstumaRqapam
varttitvaM gfhItvEva,varttitvam+gfhItva+eva
varttulaM BrAmayitvA,varttulam+BrAmayitvA
varttulaM sADayettataH,varttulam+sADayet+tataH
varttulamucyate,varttulam+ucyate
varttulAvarttako'sitaH,varttulAvarttakaH+asitaH
vartmaprApto'YjanAddozo rogAn,vartmaprAptaH+aYjanAt+dozaH+rogAn
vartyaByaNgAvagAhASca,vartyaByaNgAvagAhAH+ca
vartyA'gre,vartyA+agre
vardData eva,vardDate+eva
vardDanIM nyasya,vardDanIm+nyasya
vardDanIM SivakumBaYca,vardDanIm+SivakumBam+ca
vardDanIM samyagAdAya,vardDanIm+samyak+AdAya
vardDanIM spfSet,vardDanIm+spfSet
vardDanIntataH,vardDanIm+tataH
